Date,Price,Open,High,Low,Change %
11/15/2023,-0.244,-0.247,-0.244,-0.247,-0.81%
11/14/2023,-0.247,-0.236,-0.236,-0.247,4.23%
11/13/2023,-0.236,-0.221,-0.221,-0.236,6.77%
11/12/2023,-0.221,-0.221,-0.221,-0.221,10.20%
11/10/2023,-0.201,-0.201,-0.201,-0.201,7.77%
11/09/2023,-0.186,-0.201,-0.186,-0.206,0.00%
11/08/2023,-0.186,-0.201,-0.186,-0.203,-6.98%
11/07/2023,-0.2,-0.201,-0.2,-0.201,-0.50%
11/06/2023,-0.201,-0.189,-0.189,-0.202,0.00%
11/05/2023,-0.201,-0.201,-0.201,-0.201,1.00%
11/02/2023,-0.199,-0.199,-0.199,-0.199,0.00%
11/01/2023,-0.199,-0.201,-0.199,-0.201,0.00%
